brand_id,brand_name,product_name,product_id,category,beauty_point_earned,price,url,active_date,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist
338,Votre-Peau,Brightening Essence,74682,Skincare,40,249000.0,https://www.sociolla.com/essence/27862-brightening-essence,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.574222080136402,138,"""star_effectiveness"": 4.485294117647059; ""star_packaging"": 4.818840579710145; ""star_texture"": 4.746376811594203; ""star_value_for_money"": 4.246376811594203",127,37,17,84,1569
338,Votre-Peau,Herbal Calendula Hydrating Facial Toner,80734,Skincare,30,185000.0,https://www.sociolla.com/toner/52392-hebal-calendula-hydrating-facial-toner,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.579365079365079,63,"""star_effectiveness"": 4.555555555555555; ""star_packaging"": 4.619047619047619; ""star_texture"": 4.746031746031746; ""star_value_for_money"": 4.396825396825397",61,15,4,44,723
338,Votre-Peau,Bye Bye Wrinkles Package,88222,Skincare,60,330000.0,https://www.sociolla.com/default-category/59880-bye-bye-wrinkles-package,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,48
218,Wardah,Colorfit Velvet Matte Lip Mousse,35883,Makeup,10,79000.0,https://www.sociolla.com/lip-cream/14171-colorfit-velvet-matte-lip-mousse,2022-12-22 17:45:15.909000+00:00,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.581092133750301,4157,"""star_long_wear"": 4.337984123165745; ""star_packaging"": 4.7387539090690405; ""star_pigmentation"": 4.603079143613183; ""star_texture"": 4.622564349290354; ""star_value_for_money"": 4.603079143613183",4021,796,179,3182,7463
218,Wardah,Optimum Hi-Black Liner,810,Makeup,10,84500.0,https://www.sociolla.com/eyeliner/3650-optimum-hi-black-liner,2022-12-22 17:07:11.621000+00:00,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.441830507839574,2321,"""star_long_wear"": 4.367514002585093; ""star_packaging"": 4.470917707884532; ""star_pigmentation"": 4.5773913043478265; ""star_texture"": 4.3960869565217395; ""star_value_for_money"": 4.397242567858681",2164,608,258,1455,1479
218,Wardah,Seaweed Cleansing Micellar Water,2466,Shop By Departments,10,43000.0,https://sociolla.com/micellar-water/8478-seaweed-cleansing-micellar-water.html,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.530189510797708,2269,"""star_effectiveness"": 4.427941824592331; ""star_packaging"": 4.576906126046716; ""star_texture"": 4.535918907007492; ""star_value_for_money"": 4.5799911855442925",2111,517,228,1524,2063
218,Wardah,Lightening Face Toner,650,Skincare,0,26500.0,https://www.sociolla.com/toner/3374-lightening-face-toner-150-ml,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.319323308270676,1995,"""star_effectiveness"": 4.075187969924812; ""star_packaging"": 4.309774436090225; ""star_texture"": 4.3503759398496245; ""star_value_for_money"": 4.541854636591479",1735,539,373,1083,1507
218,Wardah,Aloe Hydramild Facial Wash,20356,Skincare,0,25500.0,https://www.sociolla.com/face-wash/10725-aloe-hydramild-facial-wash,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.521536412078153,1126,"""star_effectiveness"": 4.323268206039076; ""star_packaging"": 4.530195381882771; ""star_texture"": 4.549733570159858; ""star_value_for_money"": 4.682948490230906",1022,207,161,758,675
218,Wardah,Colorfit Last All Day Lip Paint,83695,Makeup,10,69000.0,https://www.sociolla.com/lip-cream/55353-colorfit-last-all-day-lip-paint,,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.670202507232402,1037,"""star_long_wear"": 4.648987463837994; ""star_packaging"": 4.7733847637415625; ""star_pigmentation"": 4.762777242044359; ""star_texture"": 4.477338476374157; ""star_value_for_money"": 4.688524590163935",998,208,50,779,2103
218,Wardah,Nature Daily Tea Tree Oil Control Clay Capsule Mask,63466,Skincare,0,22000.0,https://www.sociolla.com/clay-mask/16207-nature-daily-tea-tree-oil-control-clay-capsule-mask,,is_star_effectiveness;is_star_packaging;is_star_texture;is_star_value_for_money,4.520432692307692,416,"""star_effectiveness"": 4.367788461538462; ""star_packaging"": 4.644230769230769; ""star_texture"": 4.4951923076923075; ""star_value_for_money"": 4.574519230769231",382,109,37,270,1003
